step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
175,136,11.1133,127912.9489,401036.5195,14.0,6,1,0,940.5364,2948.7979
176,137,11.0907,123984.0011,388718.7442,14.0,5,1,0,904.9927,2837.3631
177,138,10.987,124939.0895,391712.5777,19.0,6,1,0,905.3557,2838.4969
178,139,11.0241,127344.3983,399253.9992,24.0,6,1,0,916.1468,2872.3309
179,140,11.1615,134165.2128,420638.4342,30.0,7,1,0,958.3229,3004.5602
180,141,11.0901,120134.9549,376650.2972,27.0,7,1,0,852.021,2671.2787
181,140,11.1515,137271.1188,430377.1257,30.0,7,0,1,980.508,3074.1223
182,141,11.0817,123344.525,386712.6556,37.0,8,1,0,874.7839,2742.6429
183,142,11.1627,133085.6004,417253.8977,45.0,9,1,0,937.2225,2938.4077
184,143,11.2335,135559.3192,425009.6018,36.0,7,1,0,947.9673,2972.0951
185,144,11.2471,122963.3545,385518.0678,43.0,8,1,0,853.9122,2677.2088
186,145,11.1875,131624.5031,412672.7591,50.0,8,1,0,907.7552,2846.019
187,145,11.2206,119677.2584,375214.7627,58.0,8,0,0,825.3604,2587.688
188,146,11.2204,132539.9003,415542.4315,68.0,11,1,0,907.8075,2846.181
189,147,11.0183,119949.9855,376070.4442,67.0,10,1,0,815.9863,2558.3023
190,148,11.0238,133170.2707,417519.2447,60.0,8,1,0,899.7991,2821.076
191,149,10.9612,124724.8737,391039.6584,49.0,8,1,0,837.0797,2624.4272
192,149,11.0301,128955.7112,404305.3512,34.0,5,1,1,865.4746,2713.4587
193,147,11.1683,137788.3201,431998.1086,39.0,5,0,2,937.3355,2938.7626
194,147,11.0947,128992.6029,404421.3192,32.0,5,1,1,877.5007,2751.1654
195,147,10.965,121180.3181,379927.8424,16.0,4,1,1,824.3559,2584.5431
196,148,10.8751,139653.9922,437848.1101,11.0,4,1,0,943.6081,2958.4332
197,149,10.8567,130977.5814,410644.338,7.0,4,1,0,879.0442,2756.0023
198,150,10.6957,121181.3208,379930.5738,12.0,6,1,0,807.8755,2532.8705
199,150,10.6919,129022.9375,404515.8924,18.0,6,0,0,860.1529,2696.7726
200,151,10.5784,142189.7912,445797.7854,18.0,5,1,0,941.6542,2952.3032
201,152,10.6703,145155.5332,455096.2984,23.0,6,1,0,954.9706,2994.0546
202,153,10.7148,144244.9097,452240.6833,28.0,6,1,0,942.7772,2955.8215
203,154,10.7504,146569.965,459531.6016,34.0,7,1,0,951.753,2983.9714
204,155,10.8991,159365.406,499647.837,40.0,7,1,0,1028.1639,3223.5344
205,155,10.9616,144764.0892,453868.5747,46.0,6,0,0,933.9619,2928.1844
206,156,11.0407,149988.2557,470247.144,54.0,9,1,0,961.4632,3014.4048
207,157,10.9817,137419.7288,430841.678,37.0,7,1,0,875.2849,2744.2145
208,158,10.8117,129779.2096,406886.5975,33.0,7,1,0,821.3874,2575.2316
209,159,10.6342,129133.7119,404862.7943,32.0,6,1,0,812.1617,2546.3069
210,160,10.6492,141315.6064,443056.521,34.0,7,1,0,883.2225,2769.1033
211,160,10.8031,151833.3281,476032.657,40.0,6,0,0,948.9583,2975.2041
212,161,10.9294,165329.8354,518348.2472,47.0,8,1,0,1026.8934,3219.5543
213,162,10.9835,160607.8778,503543.813,55.0,9,1,0,991.4067,3108.2951
214,163,11.0398,169430.9745,531206.2164,63.0,9,1,0,1039.4538,3258.9338
215,164,11.0899,159500.0214,500070.2617,71.0,9,1,0,972.5611,3049.2089
216,165,10.9934,147246.6113,461651.8771,58.0,7,1,0,892.4037,2797.8902
217,165,11.0579,157650.7814,494271.6316,42.0,5,0,0,955.4593,2995.5856
218,166,11.0313,148303.7295,464966.8322,28.0,5,1,0,893.396,2801.005
219,167,10.979,147871.6553,463610.9403,25.0,5,1,0,885.459,2776.1134
220,168,10.9389,140652.6548,440977.2006,31.0,7,1,0,837.2182,2624.8643
221,169,11.0388,165718.1126,519564.7328,38.0,8,1,0,980.5805,3074.3475
222,170,11.2493,182687.1625,572768.2865,33.0,5,1,0,1074.6304,3369.2252
223,170,11.4068,163455.9926,512473.4101,36.0,5,0,0,961.5058,3014.5495
224,171,11.4649,151314.8209,474406.5185,27.0,6,1,0,884.882,2774.3071
225,172,11.2971,140534.0209,440605.7981,33.0,7,1,0,817.0583,2561.6616
226,173,11.0591,139434.4472,437158.6891,39.0,7,1,0,805.9795,2526.9288
227,173,10.8945,137718.8875,431779.5554,47.0,9,1,1,796.0629,2495.8356
228,174,10.8145,149311.6259,468126.061,53.0,8,1,0,858.1128,2690.3797
229,173,10.7573,153029.7139,479783.0522,61.0,8,0,1,884.5648,2773.3124
230,174,10.7043,150616.4045,472214.6922,65.0,10,1,0,865.6115,2713.8775
231,174,10.7036,157661.8807,494305.1197,75.0,11,1,1,906.1028,2840.834
232,175,10.7414,165267.227,518149.9137,88.0,14,1,0,944.3842,2960.8566
233,176,10.6679,141374.7537,443240.8909,102.0,15,1,0,803.2656,2518.4142
234,177,10.5375,151712.1484,475651.4353,113.0,15,1,0,857.1308,2687.2962
235,177,10.4233,134764.6964,422515.0923,128.0,15,0,0,761.3825,2387.0909
236,178,10.3149,143346.0255,449420.1072,146.0,19,1,0,805.3147,2524.8321
237,179,10.3054,168088.8674,526994.8653,164.0,19,1,0,939.044,2944.1054
238,180,10.0359,134439.7437,421496.4733,144.0,16,1,0,746.8875,2341.6471
239,181,9.9907,164059.3464,514361.3657,145.0,17,1,0,906.4052,2841.7755
240,182,9.8167,143947.5301,451305.5354,130.0,17,1,0,790.9205,2479.7007
241,182,9.9497,161315.186,505757.0727,128.0,15,0,0,886.3472,2778.885
242,183,9.862,142076.8655,445439.9733,132.0,17,1,0,776.3763,2434.0982
243,183,10.0013,170091.6103,533273.9925,97.0,12,0,0,929.4624,2914.0655
244,184,10.106,174332.4666,546570.6037,100.0,13,1,0,947.4591,2970.4924
245,185,10.0228,152102.029,476872.7518,92.0,13,2,1,822.1731,2577.6906
246,186,10.0824,164036.2634,514289.832,99.0,12,1,0,881.9154,2764.9991
247,186,10.2297,172947.4496,542229.0329,111.0,12,0,0,929.825,2915.2099
248,187,10.3164,170931.0191,535905.8954,122.0,13,1,0,914.0696,2865.8069
249,187,10.4052,167363.4825,524721.2238,127.0,13,0,0,894.9919,2805.9958
250,188,10.339,154121.7817,483204.8919,133.0,12,1,0,819.7967,2570.2388
251,190,10.2137,166420.1251,521763.6209,145.0,14,2,0,875.8954,2746.1243
252,190,10.3426,177932.8292,557858.9108,141.0,13,1,1,936.4886,2936.0995
253,189,10.3102,166187.5824,521035.1705,135.0,13,0,1,879.2994,2756.7998
254,189,10.1923,148297.9651,464945.0899,133.0,11,1,1,784.6453,2460.0269
255,190,10.1121,153117.1062,480054.5659,144.0,12,1,0,805.8795,2526.603
