step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
130,20,10.2092,17915.4064,56168.9333,9.0,1,0,0,895.7703,2808.4467
131,20,10.4473,20155.9375,63193.4083,10.0,1,0,0,1007.7969,3159.6704
132,21,10.1545,19147.6443,60032.1908,0.0,1,1,0,911.7926,2858.6758
133,21,10.3353,18789.9868,58911.2243,0.0,0,0,0,894.7613,2805.2964
134,21,10.4225,21415.5868,67143.0163,0.0,0,0,0,1019.7898,3197.2865
135,21,10.5986,23177.173,72665.7071,0.0,0,0,0,1103.6749,3460.2718
136,21,10.7424,20021.5278,62772.0236,0.0,0,0,0,953.4061,2989.144
137,21,10.7126,15487.094,48555.3327,0.0,0,0,0,737.4807,2312.1587
138,22,9.8282,15670.9758,49131.719,0.0,1,1,0,712.3171,2233.26
139,22,9.827,18625.8775,58396.3641,0.0,0,0,0,846.6308,2654.3802
140,22,10.1109,19385.174,60776.612,1.0,1,0,0,881.1443,2762.5733
141,22,10.4921,21526.4556,67490.3948,2.0,1,0,0,978.4753,3067.7452
142,22,10.6475,19772.7923,61992.5375,3.0,1,0,0,898.7633,2817.8426
143,22,10.8178,19549.6506,61292.7581,4.0,1,0,0,888.6205,2786.0345
144,23,10.2624,18872.0486,59167.9056,5.0,2,1,0,820.5239,2572.5176
145,23,10.1235,16469.1123,51634.0805,6.0,1,0,0,716.0484,2244.96
146,23,10.1439,17183.2426,53873.134,7.0,1,0,0,747.0975,2342.3102
147,23,10.3616,23137.5491,72541.5652,8.0,1,0,0,1005.9804,3153.9811
148,23,10.4321,17974.701,56354.5066,9.0,1,0,0,781.5087,2450.1959
149,22,10.6267,19132.3681,59984.0987,11.0,2,0,1,869.6531,2726.5499
150,23,9.8713,15833.5494,49641.3566,13.0,3,1,0,688.4152,2158.3199
151,23,9.0824,10785.3826,33813.9673,15.0,2,0,0,468.9297,1470.1725
152,23,9.0418,20015.9481,62754.006,17.0,2,0,0,870.2586,2728.435
153,23,8.899,13619.7245,42700.4675,19.0,2,0,0,592.1619,1856.5421
154,23,9.1132,21305.2345,66796.2134,21.0,2,0,0,926.3145,2904.1832
155,23,9.1815,18225.4316,57140.5274,23.0,2,0,0,792.4101,2484.3708
156,24,9.1704,24296.1594,76173.7174,25.0,3,1,0,1012.34,3173.9049
157,24,9.1845,19532.6393,61238.7718,28.0,3,0,0,813.86,2551.6155
158,24,9.3644,21014.5048,65884.9527,12.0,2,0,0,875.6044,2745.2064
159,24,9.3472,16061.9812,50357.1774,14.0,2,0,0,669.2492,2098.2157
160,24,9.3034,18408.1313,57713.218,16.0,2,0,0,767.0055,2404.7174
161,24,9.2685,15669.1776,49126.1048,13.0,1,0,0,652.8824,2046.921
162,25,9.0903,20635.9847,64698.0201,14.0,2,1,0,825.4394,2587.9208
163,25,9.6358,25090.6143,78664.5227,15.0,1,0,0,1003.6246,3146.5809
164,25,9.6247,17726.4891,55576.0886,16.0,1,0,0,709.0596,2223.0435
165,25,10.0002,28137.5525,88217.7371,17.0,1,0,0,1125.5021,3528.7095
166,25,10.1599,19995.7787,62691.1846,18.0,1,0,0,799.8311,2507.6474
167,25,10.1168,16349.0473,51257.4707,19.0,1,0,0,653.9619,2050.2988
168,25,9.6393,17737.8736,55611.9728,0.0,1,1,1,709.5149,2224.4789
169,25,9.9603,22041.4635,69104.5961,0.0,0,0,0,881.6585,2764.1838
170,25,10.1704,20642.557,64719.0817,0.0,0,0,0,825.7023,2588.7633
171,25,10.501,23222.8659,72809.2495,0.0,0,0,0,928.9146,2912.37
172,25,10.4516,20461.8499,64152.6734,0.0,0,0,0,818.474,2566.1069
173,25,10.4904,21637.7266,67839.5846,0.0,0,0,0,865.5091,2713.5834
174,26,10.243,25789.2576,80855.3354,0.0,1,1,0,991.8945,3109.8206
175,26,10.5326,26601.3596,83401.2324,0.0,0,0,0,1023.1292,3207.7397
176,26,10.7539,21303.0592,66789.4696,0.0,0,0,0,819.3484,2568.8258
177,26,10.6716,19543.8111,61274.0513,0.0,0,0,0,751.685,2356.6943
178,26,10.5448,18937.589,59373.3613,0.0,0,0,0,728.3688,2283.5908
179,26,10.4415,16711.1904,52393.3701,0.0,0,0,0,642.7381,2015.1296
180,27,10.1153,23327.4858,73136.9447,0.0,1,1,0,863.981,2708.7757
181,27,10.2078,19295.4259,60495.1832,1.0,1,0,0,714.6454,2240.5623
182,27,10.515,25386.636,79592.6992,2.0,1,0,0,940.2458,2947.8777
183,27,10.2999,13508.8399,42353.0441,3.0,1,0,0,500.3274,1568.6313
184,27,10.8193,28527.9279,89441.7393,0.0,0,0,0,1056.5899,3312.657
185,27,10.8979,20413.2599,63999.9717,0.0,0,0,0,756.0467,2370.3693
186,28,10.5829,23756.1018,74481.0259,0.0,1,1,0,848.4322,2660.0366
187,28,10.4279,19692.0059,61738.6998,0.0,0,0,0,703.2859,2204.9536
188,28,10.0975,16602.5839,52052.7069,0.0,0,0,0,592.9494,1859.0252
189,28,10.1881,23955.2254,75104.8496,0.0,0,0,0,855.5438,2682.3161
190,28,10.5059,25848.7976,81041.6855,0.0,0,0,0,923.1713,2894.3459
191,28,10.5777,17991.1529,56406.1735,1.0,1,0,0,642.5412,2014.5062
192,29,10.5848,31152.9706,97671.6556,0.0,1,1,0,1074.2404,3367.9881
193,29,10.8677,26705.044,83726.6073,0.0,0,0,0,920.8636,2887.1244
194,29,11.1156,31254.7033,97991.0531,0.0,0,0,0,1077.7484,3379.0018
195,29,11.4287,28926.289,90690.8756,0.0,0,0,0,997.4582,3127.2716
196,29,11.6454,29106.4115,91255.5517,0.0,0,0,0,1003.6694,3146.7432
197,29,11.3554,24992.9241,78358.683,1.0,1,0,0,861.825,2702.0236
198,30,10.4078,22727.1788,71254.6705,2.0,2,1,0,757.5726,2375.1557
199,30,10.4618,23949.3926,75086.5038,3.0,1,0,0,798.3131,2502.8835
200,30,10.3558,27934.2963,87580.329,4.0,1,0,0,931.1432,2919.3443
201,30,10.9051,32496.7619,101884.8899,6.0,2,0,0,1083.2254,3396.163
202,30,11.2867,31736.5689,99501.8242,8.0,2,0,0,1057.8856,3316.7275
203,30,11.407,32372.734,101496.1481,10.0,2,0,0,1079.0911,3383.2049
204,31,10.8199,23822.0776,74687.3632,12.0,3,1,0,768.4541,2409.2698
205,31,10.6434,21313.0061,66820.7286,14.0,2,0,0,687.5163,2155.5074
206,31,10.7898,34186.3273,107182.1572,17.0,3,0,0,1102.7848,3457.4889
207,31,10.7521,24227.4116,75958.4719,20.0,3,0,0,781.5294,2450.2733
208,31,10.882,30775.6515,96488.7438,8.0,1,0,0,992.763,3112.5401
209,31,10.897,24864.5273,77955.7,9.0,1,0,0,802.0815,2514.7
210,32,10.6564,37353.6529,117112.6204,10.0,2,1,0,1167.3017,3659.7694
211,32,11.0247,38066.4313,119347.5129,11.0,1,0,0,1189.576,3729.6098
212,32,11.2701,34577.2983,108407.955,13.0,2,0,0,1080.5406,3387.7486
213,32,11.2309,31820.1688,99763.7179,15.0,2,0,0,994.3803,3117.6162
214,32,11.4574,32299.0824,101265.1413,17.0,2,0,0,1009.3463,3164.5357
215,32,11.3859,27374.3777,85824.7237,19.0,2,0,0,855.4493,2682.0226
216,33,11.1882,28184.5486,88364.7446,22.0,4,1,0,854.0772,2677.7195
217,33,11.4769,31427.5447,98532.434,25.0,3,0,0,952.3498,2985.8313
218,33,11.7221,34052.7644,106763.1052,28.0,3,0,0,1031.902,3235.2456
219,33,11.7541,28067.3669,87997.3988,12.0,2,0,0,850.5263,2666.5878
220,33,11.6383,24389.0872,76465.1888,5.0,1,0,0,739.0632,2317.1269
221,33,11.4786,20818.3048,65269.5614,6.0,1,0,0,630.8577,1977.8655
222,34,10.8247,26677.9797,83641.2918,7.0,2,1,0,784.6465,2460.038
223,34,10.8739,31653.5475,99241.3791,8.0,1,0,0,930.9867,2918.8641
224,34,11.1968,34593.3731,108458.2268,9.0,1,0,0,1017.4522,3189.9478
225,34,11.3999,35740.2716,112054.2457,10.0,1,0,0,1051.1845,3295.7131
226,34,11.7709,37032.3733,116105.3678,0.0,0,0,0,1089.1875,3414.8638
227,34,11.7521,27374.7476,85826.4449,0.0,0,0,0,805.1396,2524.3072
228,35,11.3709,30657.6704,96118.8153,0.0,1,1,0,875.9334,2746.2519
229,35,11.2988,25040.6235,78507.7152,0.0,0,0,0,715.4464,2243.0776
230,35,11.2285,26529.6286,83176.0576,2.0,2,0,0,757.9894,2376.4588
231,35,11.2986,27260.6998,85468.2344,2.0,1,0,0,778.8771,2441.9496
232,35,11.4556,29215.3193,91596.7039,0.0,0,0,0,834.7234,2617.0487
233,35,11.6324,30038.6588,94177.8318,0.0,0,0,0,858.2474,2690.7952
234,36,11.3992,30529.9791,95718.2875,0.0,1,1,0,848.055,2658.8413
235,36,11.3535,33385.2286,104670.3984,0.0,0,0,0,927.3675,2907.5111
236,36,11.617,37325.4272,117024.2089,0.0,0,0,0,1036.8174,3250.6725
237,36,11.6384,29370.0341,92081.9186,1.0,1,0,0,815.8343,2557.8311
238,36,11.7258,32508.5219,101921.8252,2.0,1,0,0,903.0145,2831.1618
239,36,11.6564,28347.6107,88876.1291,3.0,1,0,0,787.4336,2468.7814
240,37,11.7787,43626.7143,136779.981,4.0,2,1,0,1179.1004,3696.7562
241,37,11.8181,25636.6467,80376.5982,5.0,1,0,0,692.8823,2172.3405
242,37,11.9707,31930.368,100108.8425,0.0,0,0,0,862.9829,2705.6444
243,37,11.9178,32160.4161,100830.6265,0.0,0,0,0,869.2004,2725.1521
244,37,11.8307,34815.5309,109155.5102,0.0,0,0,0,940.9603,2950.1489
245,37,11.6249,29801.6049,93435.296,0.0,0,0,0,805.4488,2525.2783
246,38,11.2967,34384.6414,107803.887,0.0,1,1,0,904.859,2836.9444
247,38,11.4839,31692.5248,99363.3011,0.0,0,0,0,834.0138,2614.8237
248,38,11.4417,31189.6172,97786.6863,0.0,0,0,0,820.7794,2573.3339
249,38,11.4045,33661.9638,105537.9514,1.0,1,0,0,885.8412,2777.3145
250,38,11.1024,26442.1558,82901.9891,2.0,1,0,0,695.8462,2181.6313
251,37,10.9331,31920.6168,100078.7527,3.0,1,0,1,862.7194,2704.8312
252,38,10.8513,33229.0037,104180.4326,4.0,2,1,0,874.4475,2741.5903
253,38,11.2855,41070.3585,128765.2848,5.0,1,0,0,1080.7989,3388.5601
254,38,11.3427,33753.4651,105824.5747,6.0,1,0,0,888.2491,2784.8572
