step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
219,98,10.0318,82609.5271,258999.4126,32.0,4,0,0,842.9544,2642.8511
220,97,9.6335,70078.3191,219709.8942,37.0,6,1,2,722.4569,2265.0505
221,97,9.5505,83656.285,262280.845,40.0,4,0,0,862.4359,2703.9262
222,98,9.6073,86295.435,270554.6587,45.0,6,1,0,880.5657,2760.7618
223,98,9.6996,84999.6844,266492.1673,50.0,6,0,0,867.3437,2719.3078
224,99,9.9741,105507.5751,330790.3801,54.0,6,1,0,1065.7331,3341.317
225,99,10.2153,96044.6669,301121.6346,59.0,5,0,0,970.1482,3041.6327
226,100,10.2415,86662.4049,271705.6413,15.0,4,1,0,866.624,2717.0564
227,99,10.4721,90518.4097,283795.7187,5.0,1,0,1,914.3274,2866.6234
228,100,10.6202,103321.7231,323937.8275,7.0,3,1,0,1033.2172,3239.3783
229,100,10.6444,87173.4069,273309.0094,9.0,2,0,0,871.7341,2733.0901
230,101,10.559,97603.1256,306008.5048,12.0,4,1,0,966.3676,3029.7872
231,101,10.6366,98623.1094,309206.4704,15.0,3,0,0,976.4664,3061.4502
232,101,10.7107,99200.6943,311016.8483,19.0,5,1,1,982.1851,3079.3747
233,101,10.7877,103554.5464,324667.6827,24.0,5,0,0,1025.2925,3214.5315
234,102,10.7202,93514.7195,293189.9276,30.0,7,1,0,916.811,2874.4111
235,102,10.7831,90825.6226,284759.2279,36.0,6,0,0,890.4473,2791.7571
236,103,10.5187,76967.9414,241310.1383,42.0,7,1,0,747.2616,2342.8169
237,103,10.4091,79165.3045,248199.8355,50.0,8,0,0,768.5952,2409.7071
238,104,10.2535,93600.8345,293458.8479,43.0,9,1,0,900.008,2821.7197
239,104,10.2834,87118.3303,273134.5569,52.0,9,0,0,837.6763,2626.2938
240,104,10.1937,83437.4952,261594.6363,39.0,7,1,1,802.2836,2515.333
241,103,10.3273,93257.4043,292382.478,45.0,6,0,1,905.4117,2838.6648
242,103,10.3845,92249.2006,289221.6117,52.0,8,1,1,895.6233,2807.9768
243,103,10.7081,111144.0165,348461.6701,48.0,6,0,0,1079.0681,3383.123
244,104,10.6924,89232.1115,279762.5429,47.0,6,1,0,858.0011,2690.0245
245,104,10.8615,96553.9625,302718.1521,52.0,5,0,0,928.4035,2910.7515
246,105,11.018,105106.9027,329534.0383,57.0,6,1,0,1001.0181,3138.4194
247,104,11.1597,95931.3608,300766.5298,62.0,5,0,1,922.4169,2891.9859
248,105,11.0358,81231.6055,254679.0192,67.0,6,1,0,773.6343,2425.5145
249,105,11.1518,92250.3314,289226.1854,72.0,5,0,0,878.5746,2754.5351
250,105,11.1345,87500.9356,274334.6642,77.0,6,1,1,833.3422,2612.7111
251,104,11.1977,84650.5675,265398.0687,60.0,4,0,1,813.9478,2551.9045
252,105,11.2938,95001.8141,297851.6783,65.0,6,1,0,904.7792,2836.6827
253,105,11.4053,95020.485,297910.7039,70.0,5,0,0,904.957,2837.2448
254,105,11.1896,83246.8807,260997.3983,75.0,6,1,1,792.8274,2485.6895
255,104,11.3564,102459.3168,321234.0478,80.0,5,0,1,985.1857,3088.7889
256,105,11.2887,94416.7926,296017.3567,85.0,6,1,0,899.2075,2819.2129
257,103,11.1075,62390.8538,195608.6818,90.0,5,0,2,605.7364,1899.1134
258,104,11.0061,96396.2939,302224.0204,96.0,7,1,0,926.8874,2906.0002
259,104,10.8083,81631.1852,255931.3069,102.0,6,0,0,784.9152,2460.878
260,105,10.6695,85137.7925,266925.7185,87.0,6,1,0,810.8361,2542.1497
261,105,10.7755,89664.7299,281118.4052,43.0,4,0,0,853.9498,2677.3181
262,106,10.7745,88757.3789,278273.3043,16.0,3,1,0,837.3338,2625.2199
263,106,11.0277,98992.6889,310364.4531,0.0,0,0,0,933.8933,2927.9665
264,107,10.8822,84511.9896,264963.6975,0.0,1,1,0,789.8317,2476.2962
265,107,11.1004,111620.7962,349957.8897,0.0,0,0,0,1043.185,3270.6345
266,108,10.9713,89775.072,281465.0977,1.0,2,1,0,831.2507,2606.1583
267,108,11.1039,96629.9667,302956.8738,3.0,2,0,0,894.7219,2805.1562
268,109,11.1507,91377.2028,286488.1953,7.0,5,1,0,838.323,2628.3321
269,109,11.0772,90678.8922,284298.2912,9.0,3,0,0,831.9164,2608.2412
270,110,10.7923,86525.9707,271278.011,13.0,5,1,0,786.5997,2466.1637
271,110,10.7632,92317.2589,289435.1165,17.0,4,0,0,839.2478,2631.2283
272,110,10.6261,92830.7449,291044.9095,20.0,6,1,1,843.9159,2645.8628
273,110,10.4809,85492.5879,268037.2779,24.0,5,0,0,777.2053,2436.7025
